,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCNATURE,DOCCLASS,TAGNO,CLIENTDOCNO,DESCRIPTION
0,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF38B-1100-301,UNIT 1 GTG & ELECTRIC BUILDING AUXI. PLATFORM FOUNDATION KEY PLAN,A,,A,,HT1-1-CNC01-D5301,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
1,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF38B-1100-302,UNIT 1 GTG & ELECTRIC BUILDING GTG-12-P12 FOUNDATION DETAILS & SECTIONS,A,,A,,HT1-1-CNC01-D5302,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
2,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF38B-1100-303,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P22 FOUNDATION DETAILS & SECTIONS,A,,A,,HT1-1-CNC01-D5303,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
3,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF38B-1100-304,UNIT 1 GTG & ELECTRIC BUILDING GTG-12-P22 FOUNDATION DETAILS & SECTIONS,A,,A,,HT1-1-CNC01-D5304,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
4,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF38B-1100-305,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P05 & GTG-12-P05 FOUNDATION DETAILS & SECTIONS,A,,A,,HT1-1-CNC01-D5305,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
5,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF38B-1100-306,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P06 & GTG-12-P06 FOUNDATION DETAILS & SECTIONS,A,,A,,HT1-1-CNC01-D5306,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
6,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-301C,CALCULATION SHEET FORUNIT 1 GTG & ELECTRIC BUILDING AUXI. STEEL PLATFORM,A,,A,,HT1-1-SNC01-C5301,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
7,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-301,UNIT 1 GTG & ELECTRIC BUILDING AUXI. STEEL PLATFORM KEY PLAN,A,,A,,HT1-1-SNC01-D5301,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
8,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-302,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P10 & GTG-12-P10 PLATFORM DETAILS & SECTIONS(1),A,,A,,HT1-1-SNC01-D5302,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
9,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-303,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P11 & GTG-12-P11 PLATFORM DETAILS & SECTIONS(1),A,,A,,HT1-1-SNC01-D5303,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
10,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-304,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P12 & P13 PLATFORM DETAILS & SECTIONS(1),A,,A,,HT1-1-SNC01-D5304,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
11,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-305,UNIT 1 GTG & ELECTRIC BUILDING GTG-12-P12 PLATFORM DETAILS & SECTIONS(1),A,,A,,HT1-1-SNC01-D5305,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
12,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-306,UNIT 1 GTG & ELECTRIC BUILDING GTG-12-P13 PLATFORM DETAILS & SECTIONS(1),A,,A,,HT1-1-SNC01-D5306,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
13,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-307,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P14 & GTG-12-P14 PLATFORM DETAILS & SECTIONS(1),A,,A,,HT1-1-SNC01-D5307,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
14,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-308,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P16 PLATFORM DETAILS & SECTIONS(1),A,,A,,HT1-1-SNC01-D5308,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
15,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-309,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P22 PLATFORM DETAILS & SECTIONS(1),A,,A,,HT1-1-SNC01-D5309,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
16,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-310,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P22 PLATFORM DETAILS & SECTIONS(2),A,,A,,HT1-1-SNC01-D5310,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
17,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-311,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P22 PLATFORM DETAILS & SECTIONS(3),A,,A,,HT1-1-SNC01-D5311,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
18,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-312,UNIT 1 GTG & ELECTRIC BUILDING GTG-12-P22 PLATFORM DETAILS & SECTIONS(1),A,,A,,HT1-1-SNC01-D5312,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
19,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-313,UNIT 1 GTG & ELECTRIC BUILDING GTG-12-P22 PLATFORM DETAILS & SECTIONS(2),A,,A,,HT1-1-SNC01-D5313,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
20,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-314,UNIT 1 GTG & ELECTRIC BUILDING GTG-12-P22 PLATFORM DETAILS & SECTIONS(3),A,,A,,HT1-1-SNC01-D5314,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
21,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-315,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P05 & GTG-12-P05 PLATFORM DETAILS & SECTIONS(1),A,,A,,HT1-1-SNC01-D5315,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
22,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-316,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P05 & GTG-12-P05 PLATFORM DETAILS & SECTIONS(2),A,,A,,HT1-1-SNC01-D5316,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
23,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-317,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P05 & GTG-12-P05 PLATFORM DETAILS & SECTIONS(3),A,,A,,HT1-1-SNC01-D5317,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
24,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-318,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P06 & GTG-12-P06 PLATFORM DETAILS & SECTIONS(1),A,,A,,HT1-1-SNC01-D5318,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
25,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-319,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P06 & GTG-12-P06 PLATFORM DETAILS & SECTIONS(2),A,,A,,HT1-1-SNC01-D5319,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
26,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-320,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P04 & GTG-12-P04 PLATFORM DETAILS & SECTIONS(1),A,,A,,HT1-1-SNC01-D5320,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
27,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-321,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P04 & GTG-12-P04 PLATFORM DETAILS & SECTIONS(2),A,,A,,HT1-1-SNC01-D5321,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
28,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-322,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P04 & GTG-12-P04 PLATFORM DETAILS & SECTIONS(3),A,,A,,HT1-1-SNC01-D5322,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
29,HT-D1-CTC-GEL-22-0037,IFA,2022/02/11,,XF42F-1100-323,UNIT 1 GTG & ELECTRIC BUILDING GTG-11-P04 & GTG-12-P04 PLATFORM DETAILS & SECTIONS(4),A,,A,,HT1-1-SNC01-D5323,Unit 1 GTG & Electric Building Auxi. Platform (IFA) 一號氣渦輪發電機及電氣設備機房輔助平台 (IFA) (內含計算書)
